reactionId	compartment	r ; p	ratelaw
vGac1340	Nucleus	nuc_gene_i__RIBC2_ ; nuc_gene_a__RIBC2_	kGac1340 * nuc_gene_i__RIBC2_
vGac1341	Nucleus	nuc_gene_i__C22orf42_ ; nuc_gene_a__C22orf42_	kGac1341 * nuc_gene_i__C22orf42_
vGac1342	Nucleus	nuc_gene_i__PIP4K2B_ ; nuc_gene_a__PIP4K2B_	kGac1342 * nuc_gene_i__PIP4K2B_
vGac1343	Nucleus	nuc_gene_i__PDXP_ ; nuc_gene_a__PDXP_	kGac1343 * nuc_gene_i__PDXP_
vGac1344	Nucleus	nuc_gene_i__RFPL1_ ; nuc_gene_a__RFPL1_	kGac1344 * nuc_gene_i__RFPL1_
vGac1345	Nucleus	nuc_gene_i__PROZ_ ; nuc_gene_a__PROZ_	kGac1345 * nuc_gene_i__PROZ_
vGac1346	Nucleus	nuc_gene_i__SELENOM_ ; nuc_gene_a__SELENOM_	kGac1346 * nuc_gene_i__SELENOM_
vGac1347	Nucleus	nuc_gene_i__AATF_ ; nuc_gene_a__AATF_	kGac1347 * nuc_gene_i__AATF_
vGac1348	Nucleus	nuc_gene_i__TLR7_ ; nuc_gene_a__TLR7_	kGac1348 * nuc_gene_i__TLR7_
vGac1349	Nucleus	nuc_gene_i__RTL10_ ; nuc_gene_a__RTL10_	kGac1349 * nuc_gene_i__RTL10_
vGac1350	Nucleus	nuc_gene_i__XAGE1A_ ; nuc_gene_a__XAGE1A_	kGac1350 * nuc_gene_i__XAGE1A_
vGac1351	Nucleus	nuc_gene_i__TBC1D3H_ ; nuc_gene_a__TBC1D3H_	kGac1351 * nuc_gene_i__TBC1D3H_
vGac1352	Nucleus	nuc_gene_i__SSX7_ ; nuc_gene_a__SSX7_	kGac1352 * nuc_gene_i__SSX7_
vGac1353	Nucleus	nuc_gene_i__CCL4_ ; nuc_gene_a__CCL4_	kGac1353 * nuc_gene_i__CCL4_
vGac1354	Nucleus	nuc_gene_i__COL4A2_ ; nuc_gene_a__COL4A2_	kGac1354 * nuc_gene_i__COL4A2_
vGac1355	Nucleus	nuc_gene_i__SPANXN5_ ; nuc_gene_a__SPANXN5_	kGac1355 * nuc_gene_i__SPANXN5_
vGac1356	Nucleus	nuc_gene_i__SPMAP1_ ; nuc_gene_a__SPMAP1_	kGac1356 * nuc_gene_i__SPMAP1_
vGac1357	Nucleus	nuc_gene_i__F8A3_ ; nuc_gene_a__F8A3_	kGac1357 * nuc_gene_i__F8A3_
vGac1358	Nucleus	nuc_gene_i__PABPC1L2B_ ; nuc_gene_a__PABPC1L2B_	kGac1358 * nuc_gene_i__PABPC1L2B_
vGac1359	Nucleus	nuc_gene_i__RBMXL3_ ; nuc_gene_a__RBMXL3_	kGac1359 * nuc_gene_i__RBMXL3_
vGac1360	Nucleus	nuc_gene_i__SOCS7_ ; nuc_gene_a__SOCS7_	kGac1360 * nuc_gene_i__SOCS7_
vGac1361	Nucleus	nuc_gene_i__RAB20_ ; nuc_gene_a__RAB20_	kGac1361 * nuc_gene_i__RAB20_
vGac1362	Nucleus	nuc_gene_i__EPOP_ ; nuc_gene_a__EPOP_	kGac1362 * nuc_gene_i__EPOP_
vGac1363	Nucleus	nuc_gene_i__SSX2B_ ; nuc_gene_a__SSX2B_	kGac1363 * nuc_gene_i__SSX2B_
vGac1364	Nucleus	nuc_gene_i__FAM236A_ ; nuc_gene_a__FAM236A_	kGac1364 * nuc_gene_i__FAM236A_
vGac1365	Nucleus	nuc_gene_i__HSFX4_ ; nuc_gene_a__HSFX4_	kGac1365 * nuc_gene_i__HSFX4_
vGac1366	Nucleus	nuc_gene_i__ZNF275_ ; nuc_gene_a__ZNF275_	kGac1366 * nuc_gene_i__ZNF275_
vGac1367	Nucleus	nuc_gene_i__SYN3_ ; nuc_gene_a__SYN3_	kGac1367 * nuc_gene_i__SYN3_
vGac1368	Nucleus	nuc_gene_i__ZNF157_ ; nuc_gene_a__ZNF157_	kGac1368 * nuc_gene_i__ZNF157_
vGac1369	Nucleus	nuc_gene_i__NALF2_ ; nuc_gene_a__NALF2_	kGac1369 * nuc_gene_i__NALF2_
vGac1370	Nucleus	nuc_gene_i__PNMA6A_ ; nuc_gene_a__PNMA6A_	kGac1370 * nuc_gene_i__PNMA6A_
vGac1371	Nucleus	nuc_gene_i__DRICH1_ ; nuc_gene_a__DRICH1_	kGac1371 * nuc_gene_i__DRICH1_
vGac1372	Nucleus	nuc_gene_i__SSX3_ ; nuc_gene_a__SSX3_	kGac1372 * nuc_gene_i__SSX3_
vGac1373	Nucleus	nuc_gene_i__ATXN10_ ; nuc_gene_a__ATXN10_	kGac1373 * nuc_gene_i__ATXN10_
vGac1374	Nucleus	nuc_gene_i__DSC2_ ; nuc_gene_a__DSC2_	kGac1374 * nuc_gene_i__DSC2_
