index	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_
3900.000000	0.21419	82.4977	12.8059	0.000172528	0.00172528	0.000172528	0.00172528	0.00494399	0.00494399
3930.000000	0.216264	82.3764	12.9328	0.000172528	0.00172528	0.000172528	0.00172528	0.00496244	0.00496244
3960.000000	0.218349	82.2553	13.06	0.000172528	0.00172528	0.000172528	0.00172528	0.00498086	0.00498086
3990.000000	0.220442	82.1345	13.1876	0.000172528	0.00172528	0.000172528	0.00172528	0.00499925	0.00499925
4020.000000	0.222545	82.0138	13.3156	0.000172528	0.00172528	0.000172528	0.00172528	0.00501762	0.00501762
4050.000000	0.224658	81.8933	13.4438	0.000172528	0.00172528	0.000172528	0.00172528	0.00503596	0.00503596
4080.000000	0.22678	81.773	13.5725	0.000172528	0.00172528	0.000172528	0.00172528	0.00505427	0.00505427
4110.000000	0.228912	81.6529	13.7014	0.000172528	0.00172528	0.000172528	0.00172528	0.00507255	0.00507255
4140.000000	0.231053	81.533	13.8308	0.000172528	0.00172528	0.000172528	0.00172528	0.00509081	0.00509081
4170.000000	0.233204	81.4133	13.9604	0.000172528	0.00172528	0.000172528	0.00172528	0.00510904	0.00510904
4200.000000	0.235365	81.2938	14.0904	0.000172528	0.00172528	0.000172528	0.00172528	0.00512724	0.00512724
4230.000000	0.237535	81.1745	14.2207	0.000172528	0.00172528	0.000172528	0.00172528	0.00514541	0.00514541
4260.000000	0.239715	81.0553	14.3514	0.000172528	0.00172528	0.000172528	0.00172528	0.00516356	0.00516356
4290.000000	0.241904	80.9364	14.4824	0.000172528	0.00172528	0.000172528	0.00172528	0.00518168	0.00518168
4320.000000	0.244103	80.8176	14.6137	0.000172528	0.00172528	0.000172528	0.00172528	0.00519978	0.00519978
4350.000000	0.246312	80.6991	14.7454	0.000172528	0.00172528	0.000172528	0.00172528	0.00521784	0.00521784
4380.000000	0.24853	80.5807	14.8774	0.000172528	0.00172528	0.000172528	0.00172528	0.00523588	0.00523588
4410.000000	0.250759	80.4625	15.0097	0.000172528	0.00172528	0.000172528	0.00172528	0.00525389	0.00525389
4440.000000	0.252996	80.3445	15.1424	0.000172528	0.00172528	0.000172528	0.00172528	0.00527188	0.00527188
4470.000000	0.255244	80.2267	15.2754	0.000172528	0.00172528	0.000172528	0.00172528	0.00528983	0.00528983
4500.000000	0.257501	80.1091	15.4087	0.000172528	0.00172528	0.000172528	0.00172528	0.00530777	0.00530777
4530.000000	0.259768	79.9917	15.5423	0.000172528	0.00172528	0.000172528	0.00172528	0.00532567	0.00532567
4560.000000	0.262045	79.8745	15.6763	0.000172528	0.00172528	0.000172528	0.00172528	0.00534355	0.00534355
4590.000000	0.264331	79.7574	15.8106	0.000172528	0.00172528	0.000172528	0.00172528	0.0053614	0.0053614
4620.000000	0.266627	79.6406	15.9452	0.000172528	0.00172528	0.000172528	0.00172528	0.00537922	0.00537922
4650.000000	0.268933	79.5239	16.0801	0.000172528	0.00172528	0.000172528	0.00172528	0.00539702	0.00539702
4680.000000	0.271249	79.4074	16.2153	0.000172528	0.00172528	0.000172528	0.00172528	0.00541479	0.00541479
4710.000000	0.273574	79.2911	16.3509	0.000172528	0.00172528	0.000172528	0.00172528	0.00543253	0.00543253
4740.000000	0.27591	79.175	16.4867	0.000172528	0.00172528	0.000172528	0.00172528	0.00545025	0.00545025
4770.000000	0.278255	79.0591	16.6229	0.000172528	0.00172528	0.000172528	0.00172528	0.00546794	0.00546794
4800.000000	0.28061	78.9434	16.7594	0.000172528	0.00172528	0.000172528	0.00172528	0.0054856	0.0054856
4830.000000	0.282975	78.8279	16.8962	0.000172528	0.00172528	0.000172528	0.00172528	0.00550324	0.00550324
4860.000000	0.28535	78.7125	17.0333	0.000172528	0.00172528	0.000172528	0.00172528	0.00552085	0.00552085
4890.000000	0.287734	78.5973	17.1707	0.000172528	0.00172528	0.000172528	0.00172528	0.00553844	0.00553844
4920.000000	0.290129	78.4824	17.3085	0.000172528	0.00172528	0.000172528	0.00172528	0.00555599	0.00555599
4950.000000	0.292533	78.3676	17.4465	0.000172528	0.00172528	0.000172528	0.00172528	0.00557353	0.00557353
4980.000000	0.294947	78.2529	17.5848	0.000172528	0.00172528	0.000172528	0.00172528	0.00559103	0.00559103
5010.000000	0.297371	78.1385	17.7235	0.000172528	0.00172528	0.000172528	0.00172528	0.00560851	0.00560851
5040.000000	0.299805	78.0243	17.8624	0.000172528	0.00172528	0.000172528	0.00172528	0.00562597	0.00562597
